PWGTP,RAC1P,POWSP,HISP,SEX,CIT,WAOB,COW,SOCP
120,1,39,1,1,1,1,1,151121
58,1,36,1,1,1,1,1,151150
45,6,6,1,1,5,4,1,151121
94,8,32,1,1,1,1,1,172070
248,2,48,1,1,1,1,1,151199
42,1,11,1,2,5,5,4,151150
56,1,12,1,1,1,1,1,151143
64,1,18,1,2,5,4,1,151150
46,1,6,1,1,1,1,1,172070
132,6,36,1,1,1,1,1,151199
39,1,17,1,1,1,1,1,151111
58,1,8,1,1,1,1,1,151121
112,2,51,1,2,4,3,1,15113X
117,1,8,1,1,1,1,2,151131
31,1,49,1,1,1,1,1,151199
91,1,39,1,1,1,1,1,151121
409,1,48,3,1,2,2,1,151150
67,1,9,1,2,1,1,2,151131
61,1,11,1,2,1,1,5,151150
61,6,51,1,1,4,5,5,15113X
65,1,4,1,1,1,1,1,15113X
44,1,26,1,2,1,1,2,151199
269,1,12,4,1,1,1,1,151199
79,1,17,1,1,1,1,1,151141
116,1,21,1,1,1,1,1,151141
87,6,42,1,1,4,4,1,151150
85,1,6,1,1,4,5,1,15113X
68,1,25,1,1,1,1,6,151134
76,1,34,1,1,1,1,6,151150
45,2,37,1,1,1,1,5,151199
49,1,47,1,2,1,1,4,151199
153,6,6,1,1,5,4,1,15113X
160,6,6,1,2,5,4,1,151131
43,1,44,1,1,4,5,1,151143
51,1,48,1,2,1,1,1,151131
71,2,6,1,2,1,1,1,15113X
62,1,9,1,1,1,1,1,151141
60,1,12,1,1,1,1,1,151121
70,1,37,1,1,1,1,1,151150
549,1,51,1,1,1,1,1,151143
155,1,15,1,1,1,1,1,151131
69,1,24,1,1,1,1,1,172070
28,1,42,1,1,1,1,1,15113X
75,1,6,1,1,1,1,3,151199
36,1,25,1,1,1,1,1,15113X
198,1,6,1,1,4,4,1,151150
49,1,4,1,1,1,1,1,151141
259,8,55,1,2,5,3,1,151150
202,6,32,1,2,5,4,1,151121
82,6,48,1,1,4,4,1,15113X
77,1,6,1,1,1,1,3,151199
41,1,48,1,2,1,1,1,151199
108,1,48,1,1,1,1,1,15113X
39,6,6,1,1,4,4,1,172070
65,1,37,1,1,1,1,1,15113X
59,6,6,1,1,5,4,1,15113X
57,6,6,1,2,4,4,1,15113X
86,1,36,1,1,1,1,1,15113X
87,1,17,1,1,1,1,1,151131
109,1,13,1,1,1,1,1,15113X
58,1,48,1,1,1,1,1,151131
118,1,25,1,1,1,1,7,151121
42,1,20,1,1,1,1,7,15113X
139,1,17,1,1,1,1,1,151142
87,6,6,1,1,4,4,1,172061
412,1,32,1,1,1,1,1,15113X
82,1,48,1,1,1,1,1,151199
214,1,51,1,1,1,1,1,151131
141,6,34,1,1,5,4,1,15113X
115,6,25,1,1,4,4,1,151143
102,6,25,1,2,5,4,1,15113X
93,6,6,1,1,5,4,1,151134
40,1,24,1,1,1,1,1,151131
78,6,12,1,1,5,4,1,151134
72,1,51,1,2,1,1,1,151121
68,1,49,1,1,1,1,1,15113X
